GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26075000800,26, Michigan,075, Jackson County,2915,176,660,611,367,637,401,25,38
26075000900,26, Michigan,075, Jackson County,2026,104,678,598,342,200,58,10,36
26075001000,26, Michigan,075, Jackson County,1450,351,537,370,75,106,11,0,0
26075001100,26, Michigan,075, Jackson County,931,156,343,127,175,108,22,0,0
26075001200,26, Michigan,075, Jackson County,1351,229,632,344,59,66,12,9,0
26075001300,26, Michigan,075, Jackson County,1602,213,693,390,75,177,45,0,9
26075005000,26, Michigan,075, Jackson County,1353,110,612,378,161,70,22,0,0
26075005100,26, Michigan,075, Jackson County,3185,212,1199,764,445,377,159,12,17
26075005201,26, Michigan,075, Jackson County,1857,56,509,345,167,437,287,45,11
26075005202,26, Michigan,075, Jackson County,2440,73,524,561,192,664,318,95,13
26075005301,26, Michigan,075, Jackson County,3422,137,890,674,544,904,174,65,34
26075005302,26, Michigan,075, Jackson County,3370,79,1017,773,258,711,492,9,31
26075005400,26, Michigan,075, Jackson County,4088,85,1198,637,461,1250,345,70,42
26075005501,26, Michigan,075, Jackson County,1789,15,613,542,130,250,192,47,0
26075005502,26, Michigan,075, Jackson County,1493,104,465,526,193,169,36,0,0
26075005601,26, Michigan,075, Jackson County,2953,216,1101,592,522,413,49,60,0
26075005602,26, Michigan,075, Jackson County,2347,119,554,562,256,501,299,14,42
26075005700,26, Michigan,075, Jackson County,2248,182,863,338,137,430,293,0,5
26075005800,26, Michigan,075, Jackson County,6525,1063,3197,1610,423,199,24,2,7
26075005900,26, Michigan,075, Jackson County,1940,401,702,626,122,70,19,0,0
26075006001,26, Michigan,075, Jackson County,2399,243,1166,582,91,205,92,20,0
26075006002,26, Michigan,075, Jackson County,2217,214,531,484,309,411,253,0,15
26075006101,26, Michigan,075, Jackson County,2521,234,1048,656,235,203,145,0,0
26075006102,26, Michigan,075, Jackson County,2286,154,638,574,358,317,234,11,0
26075006201,26, Michigan,075, Jackson County,2230,160,944,403,255,380,68,20,0
26075006202,26, Michigan,075, Jackson County,2987,193,911,510,346,792,167,52,16
26075006301,26, Michigan,075, Jackson County,2120,89,725,574,270,288,131,29,14
26075006304,26, Michigan,075, Jackson County,2345,49,541,474,249,633,259,118,22
26075006305,26, Michigan,075, Jackson County,2106,90,703,388,219,306,198,29,173
26075006306,26, Michigan,075, Jackson County,1224,69,465,386,86,140,75,0,3
26075006401,26, Michigan,075, Jackson County,1967,175,623,391,272,378,117,10,1
26075006403,26, Michigan,075, Jackson County,2551,143,1144,533,214,389,100,20,8
26075006404,26, Michigan,075, Jackson County,1997,186,524,616,212,305,144,1,9
26075006500,26, Michigan,075, Jackson County,4591,366,1822,901,580,639,245,34,4
26075006600,26, Michigan,075, Jackson County,3244,271,1449,753,374,269,109,8,11
26075006701,26, Michigan,075, Jackson County,3576,377,1457,587,542,444,157,4,8
26075006702,26, Michigan,075, Jackson County,3581,210,975,1305,399,453,180,0,59
26075006801,26, Michigan,075, Jackson County,2345,93,916,496,230,376,187,38,9
26075006803,26, Michigan,075, Jackson County,2145,109,681,805,249,243,58,0,0
26075006804,26, Michigan,075, Jackson County,4275,85,1297,834,587,914,452,24,82
26075006900,26, Michigan,075, Jackson County,1841,249,839,426,156,159,12,0,0
26085960100,26, Michigan,085, Lake County,2126,332,790,503,191,204,77,19,10
26085961100,26, Michigan,085, Lake County,3083,671,1174,693,146,315,75,5,4
26085961200,26, Michigan,085, Lake County,2205,369,916,537,158,153,63,7,2
26085961300,26, Michigan,085, Lake County,2228,339,1101,430,120,179,39,7,13
26163500100,26, Michigan,163, Wayne County,2296,407,768,437,322,289,73,0,0
26163500200,26, Michigan,163, Wayne County,1671,134,575,592,139,179,52,0,0
26163500300,26, Michigan,163, Wayne County,1237,186,505,375,139,23,9,0,0
26163500400,26, Michigan,163, Wayne County,691,166,270,120,103,22,9,1,0
26163500500,26, Michigan,163, Wayne County,845,42,188,356,153,91,12,3,0
26163500600,26, Michigan,163, Wayne County,1589,100,610,322,413,105,24,15,0
26163500700,26, Michigan,163, Wayne County,1956,301,690,698,34,155,47,0,31
26163500800,26, Michigan,163, Wayne County,1665,183,892,323,153,77,33,0,4
26163500900,26, Michigan,163, Wayne County,1830,498,836,342,98,36,20,0,0
26163501000,26, Michigan,163, Wayne County,1550,397,775,192,104,52,17,0,13
26163501100,26, Michigan,163, Wayne County,1885,364,921,332,193,31,44,0,0
26163501200,26, Michigan,163, Wayne County,753,202,251,187,77,24,12,0,0
26163501300,26, Michigan,163, Wayne County,2247,272,901,653,236,108,51,0,26
26163501400,26, Michigan,163, Wayne County,2212,183,720,743,227,169,143,16,11
26163501500,26, Michigan,163, Wayne County,2425,247,994,693,77,221,177,16,0
26163501600,26, Michigan,163, Wayne County,1284,222,594,360,23,53,29,3,0
26163501700,26, Michigan,163, Wayne County,1362,227,559,220,135,170,51,0,0
26163501800,26, Michigan,163, Wayne County,3286,267,617,1235,210,696,188,40,33
26163501900,26, Michigan,163, Wayne County,1496,332,429,372,125,96,142,0,0
26163502000,26, Michigan,163, Wayne County,1197,180,346,355,60,204,52,0,0
26163502600,26, Michigan,163, Wayne County,2185,271,796,825,60,178,55,0,0
