PRECINCTID,Precinct_L,NAME,age_18_19,age_20_24,age_25_29,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,PRECINCT_ID_x,DEM VOTE - 2020,REP VOTE - 2020,TURNOUT - 2020,PRECINCT_ID_y,DEM VOTE - 2016,REP VOTE - 2016,TURNOUT - 2016
WP-001-01040-00001,"Alcona Township, Precinct 1",0010104000001,0.0030737704918032786,0.025614754098360656,0.0389344262295082,0.07479508196721311,0.1014344262295082,0.22028688524590165,0.26639344262295084,0.19467213114754098,0.07479508196721311,0.3326732673267327,0.5306930693069307,0.13663366336633664,0.9613196814562003,0.02161547212741752,0.0022753128555176336,0.0011376564277588168,0.013651877133105802,WP-001-01040-00001,0.3028083028083028,0.6886446886446886,819.0,0010104000001,0.2763888888888889,0.6944444444444444,720.0
WP-001-12460-00001,"Caledonia Township, Precinct 1",0011246000001,0.006600660066006601,0.041804180418041806,0.0297029702970297,0.07700770077007701,0.12981298129812982,0.19691969196919692,0.2629262926292629,0.19031903190319033,0.06490649064906491,0.3918067226890756,0.4695378151260504,0.13865546218487396,0.97539975399754,0.00984009840098401,0.0012300123001230013,0.0,0.013530135301353014,WP-001-12460-00001,0.3236459709379128,0.6710700132100397,757.0,0011246000001,0.2763975155279503,0.6847826086956522,644.0
WP-001-19320-00001,"Curtis Township, Precinct 1",0011932000001,0.0019801980198019802,0.028712871287128714,0.047524752475247525,0.08415841584158416,0.15148514851485148,0.23564356435643563,0.24059405940594059,0.15742574257425743,0.05247524752475247,0.6563088512241054,0.2975517890772128,0.046139359698681735,0.9812695109261186,0.007284079084287201,0.0,0.002081165452653486,0.009365244536940686,WP-001-19320-00001,0.3269230769230769,0.6675824175824175,728.0,0011932000001,0.3338533541341654,0.625585023400936,641.0
WP-001-34820-00001,"Greenbush Township, Precinct 1",0013482000001,0.004006410256410256,0.04006410256410257,0.040865384615384616,0.09294871794871795,0.13541666666666666,0.20192307692307693,0.27003205128205127,0.14583333333333334,0.06891025641025642,0.47076689445709946,0.38496583143507973,0.1442672741078208,0.959412780656304,0.018134715025906734,0.0017271157167530224,0.0034542314335060447,0.017271157167530225,WP-001-34820-00001,0.3459335624284078,0.6414662084765178,873.0,0013482000001,0.3252858958068615,0.636594663278272,787.0
WP-001-35740-00001,"Gustin Township, Precinct 1",0013574000001,0.016366612111292964,0.057283142389525366,0.057283142389525366,0.13911620294599017,0.13911620294599017,0.24222585924713586,0.20621931260229132,0.10474631751227496,0.03764320785597381,0.42484662576687116,0.39723926380368096,0.17791411042944785,0.9768270944741533,0.008912655971479501,0.0017825311942959,0.0,0.012477718360071301,WP-001-35740-00001,0.2557077625570776,0.723744292237443,438.0,0013574000001,0.2266288951841359,0.7053824362606232,353.0
WP-001-36880-00001,"Harrisville Township, Precinct 1",0013688000001,0.010723860589812333,0.043789097408400354,0.058981233243967826,0.1126005361930295,0.128686327077748,0.20107238605898123,0.2520107238605898,0.14119749776586238,0.05093833780160858,0.39672977624784855,0.45438898450946646,0.14888123924268504,0.962890625,0.0126953125,0.0029296875,0.0087890625,0.0126953125,WP-001-36880-00001,0.2896634615384615,0.6995192307692307,832.0,0013688000001,0.2737642585551331,0.6856780735107731,789.0
WP-001-37220-00001,"Hawes Township, Precinct 1",0013722000001,0.004970178926441352,0.04572564612326044,0.05666003976143141,0.12127236580516898,0.110337972166998,0.24055666003976142,0.2276341948310139,0.1411530815109344,0.05168986083499006,0.37652582159624415,0.4328638497652582,0.19061032863849764,0.9668449197860962,0.011764705882352941,0.0053475935828877,0.0042780748663101605,0.011764705882352941,WP-001-37220-00001,0.2783216783216783,0.7104895104895105,715.0,0013722000001,0.2635914332784184,0.6869851729818781,607.0
WP-001-37380-00001,"Haynes Township, Precinct 1",0013738000001,0.00205761316872428,0.06172839506172839,0.04526748971193416,0.09053497942386832,0.10699588477366255,0.21604938271604937,0.24279835390946503,0.19753086419753085,0.037037037037037035,0.3405088062622309,0.49706457925636005,0.162426614481409,0.9504504504504504,0.02252252252252252,0.0022522522522522522,0.0022522522522522522,0.02252252252252252,WP-001-37380-00001,0.3104089219330855,0.6802973977695167,538.0,0013738000001,0.2630434782608695,0.691304347826087,460.0
WP-001-53880-00001,"Mikado Township, Precinct 1",0015388000001,0.007072135785007072,0.06647807637906648,0.05799151343705799,0.1272984441301273,0.13437057991513437,0.2446958981612447,0.19377652050919378,0.12022630834512023,0.04809052333804809,0.4573333333333333,0.38533333333333336,0.15733333333333333,0.963855421686747,0.025602409638554216,0.0015060240963855422,0.0015060240963855422,0.007530120481927711,WP-001-53880-00001,0.2222222222222222,0.7668488160291439,549.0,0015388000001,0.1935483870967742,0.7701612903225806,496.0
WP-001-54060-00001,"Millen Township, Precinct 1",0015406000001,0.0070921985815602835,0.024822695035460994,0.024822695035460994,0.0851063829787234,0.1276595744680851,0.2198581560283688,0.2801418439716312,0.16666666666666666,0.06382978723404255,0.4791666666666667,0.4027777777777778,0.11805555555555555,0.969811320754717,0.011320754716981131,0.0,0.0037735849056603774,0.01509433962264151,WP-001-54060-00001,0.299625468164794,0.6891385767790262,267.0,0015406000001,0.3348837209302325,0.627906976744186,215.0
